JournalCode	JournalLib                    	EcritureNum	EcritureDate	CompteNum    	CompteLib                          	CompAuxNum   	CompAuxLib                         	PieceRef    	PieceDate	EcritureLib                        	        Debit	       Credit	EcritureLet	DateLet 	ValidDate	Montantdevise	Idevise
BP         	BANQUE 1	422	20150331	425000	??                                 	             	                                   	CH2189992   	20150331	SAISIE                        	24,79	0	A          	20160226	20160503
OD         	Opérations diverses           	424	20150331	425000	??                                 	             	                                   	Paye0315    	20150331	Salaires Mars 2015                 	0	24,79	A          	20160226	20160503
AC         	Achats                        	1692	20151215	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	ESP         	20151215	CAST ESP                      	2,08	0	           	        	20160503
AC         	Achats                        	278	20150310	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	FB5934      	20150310	CID                    	255,6	0	           	        	20160503
AC         	Achats                        	672	20150530	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	ESP         	20150530	CLEFS CORDO SECRETAN               	8,5	0	           	        	20160503
AC         	Achats                        	194	20150214	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	CB          	20150214	FNAC                               	190,47	0	           	        	20160503
AC         	Achats                        	1535	20151119	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	4092089007	20151119	HILI                              	191	0	           	        	20160503
AC         	Achats                        	465	20150415	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	114111276	20150415	LOXA                              	207	0	           	        	20160503
AC         	Achats                        	598	20150515	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	324012559	20150515	LOXA                              	1116,05	0	           	        	20160503
AC         	Achats                        	772	20150615	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	324406619	20150615	LOXA                              	28,8	0	           	        	20160503
AC         	Achats                        	844	20150630	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	324406765	20150630	LOXA                              	22,7	0	           	        	20160503
AC         	Achats                        	467	20150415	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	324406210	20150415	LOXA                              	207	0	           	        	20160503
AC         	Achats                        	769	20150615	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	324012888	20150615	LOXA                              	185	0	           	        	20160503
AC         	Achats                        	773	20150615	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	324406638	20150615	LOXA                              	490	0	           	        	20160503
AC         	Achats                        	1249	20150929	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	CB          	20150929	MR BRICOLAGE MICRO ONDE CHANTIER   	75	0	           	        	20160503
AC         	Achats                        	1130	20150831	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISDA	20150831	NOTE FRAIS  	45,83	0	           	        	20160503
AC         	Achats                        	1850	20151231	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	DATAN FRAIS1	20151231	NOTE FRAIS  	150	0	           	        	20160503
AC         	Achats                        	1221	20150919	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NFRAIS KEREL	20150919	NOTE FRAIS  	17,95	0	           	        	20160503
AC         	Achats                        	1864	20151231	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISKE	20151231	NOTE FRAIS  	69,91	0	           	        	20160503
AC         	Achats                        	1500	20151109	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISYE	20151109	NOTE FRAIS  	90,04	0	           	        	20160503
AC         	Achats                        	1129	20150831	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NFRAISKARROU	20150831	NOTE FRAIS  	325,8	0	           	        	20160503
AC         	Achats                        	1129	20150831	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NFRAISKARROU	20150831	NOTE FRAIS  	41,58	0	           	        	20160503
AC         	Achats                        	1129	20150831	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NFRAISKARROU	20150831	NOTE FRAIS  	8,24	0	           	        	20160503
AC         	Achats                        	1222	20150919	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NFRAISKARROU	20150919	NOTE FRAIS  	58,29	0	           	        	20160503
AC         	Achats                        	560	20150430	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTEFRAISYAN	20150430	NOTE FRAIS  	8,25	0	           	        	20160503
AC         	Achats                        	990	20150725	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISPA	20150725	NOTE FRAIS  	11,62	0	           	        	20160503
AC         	Achats                        	802	20150621	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISRO	20150621	NOTE FRAIS  	40,2	0	           	        	20160503
AC         	Achats                        	558	20150430	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTEFRAISROM	20150430	NOTE FRAIS  	3,04	0	           	        	20160503
AC         	Achats                        	1628	20151201	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISDA	20151201	NOTE FRAIS  	832,9	0	           	        	20160503
AC         	Achats                        	246	20150228	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTEFRAIS DA	20150228	NOTE FRAIS  	345,3	0	           	        	20160503
AC         	Achats                        	1642	20151202	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISDA	20151202	NOTE FRAIS  	15,17	0	           	        	20160503
AC         	Achats                        	1188	20150911	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISES	20150911	NOTE FRAIS  	53,5	0	           	        	20160503
AC         	Achats                        	1864	20151231	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISKE	20151231	NOTE FRAIS  	49,42	0	           	        	20160503
AC         	Achats                        	1644	20151202	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISLA	20151202	NOTE FRAIS  	135,21	0	           	        	20160503
AC         	Achats                        	1397	20151022	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NFRAISROMAN 	20151022	NOTE FRAIS  	188,48	0	           	        	20160503
AC         	Achats                        	1733	20151219	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTESFRAISRO	20151219	NOTE FRAIS  	74,64	0	           	        	20160503
AC         	Achats                        	411	20150331	606300	ACCESSOIRES ET PETITS ÉQUIPEMENTS  	             	                                   	NOTEFRAISROM	20150331	NOTE FRAIS  	196,7	0	           	        	20160503
